gperftools 2.10-1.1
gpgme 1.18.0-1.1
gpm 1.20.7.r38.ge82d1a6-4.2
gptfdisk 1.0.9-1.1
graphene 1.10.8-1.1
graphicsmagick 1.3.38-5.1
graphite 1:1.3.14-2.1
graphviz 7.0.0-1.1
grep 3.8-2.1
grim 1.4.0-2.1
grimshot 1.6.1-1
groff 1.22.4-7.1
gsettings-desktop-schemas 43.0-1
gsfonts 20200910-2
gsl 2.7.1-1.1
gsm 1.0.22-1.1
gspell 1.12.0-2.1
gssdp 1.6.0-1.1
gst-libav 1.20.4-3.1
gst-plugins-bad 1.20.4-3.1
gst-plugins-bad-libs 1.20.4-3.1
gst-plugins-base 1.20.4-3.1
gst-plugins-base-libs 1.20.4-3.1
gst-plugins-good 1.20.4-3.1
gst-plugins-ugly 1.20.4-3.1
gstreamer 1.20.4-3.1
gtest 1.12.1-1.1
gtk-doc 1.33.2-1
gtk-layer-shell 0.8.0-1.1
gtk-update-icon-cache 1:4.8.2-1.1
gtk2 2.24.33-2.1
gtk3 1:3.24.34+r156+g812b3930d0-1.1
gtk4 1:4.8.2-1.1
gtkmm3 3.24.7-1.1
gtksourceview3 1:3.24.11+r28+g73e57b57-1.1
gtksourceview4 4.8.4-1.1
gtksourceview5 5.6.1-1.1
gts 0.7.6.121130-2.1
guile 2.2.7-3.1
gum-bin 0.3.0-1
gupnp 1:1.6.0-1.2
gupnp-igd 1.2.0-3.2
gvfs 1.50.2-1.1
gvfs-mtp 1.50.2-1.1
gzip 1.12-1.1
harfbuzz 5.3.1-3.1
harfbuzz-icu 5.3.1-3.1
haskell-aeson 2.1.0.0-4
haskell-assoc 1.0.2-167
haskell-attoparsec 0.14.4-41
haskell-base-compat 0.12.2-1
haskell-base-compat-batteries 0.12.2-20
haskell-base-orphans 0.8.7-27
haskell-bifunctors 5.5.13-9
haskell-comonad 5.0.8-169
haskell-contravariant 1.5.5-3
haskell-data-fix 0.3.2-69
haskell-diff 0.4.1-42
haskell-distributive 0.6.2.1-172
haskell-dlist 1.0-192
haskell-erf 2.0.0.0-24
haskell-generically 0.1-1
haskell-ghc-bignum-orphans 0.1.1-1
haskell-hashable 1.4.1.0-32
haskell-indexed-traversable 0.1.2-2
haskell-indexed-traversable-instances 0.1.1.1-20
haskell-integer-logarithms 1.0.3.1-6
haskell-onetuple 0.3.1-42
haskell-primitive 0.7.4.0-45
haskell-quickcheck 2.14.2-373
haskell-random 1.2.1.1-71
haskell-regex-base 0.94.0.2-2
haskell-regex-tdfa 1.3.2-19
haskell-scientific 0.3.7.0-80
haskell-semialign 1.2.0.1-87
haskell-semigroupoids 5.3.7-71
haskell-splitmix 0.1.0.4-110
haskell-statevar 1.2.2-2
haskell-strict 0.4.0.1-141
haskell-tagged 0.8.6.1-5
haskell-text-short 0.1.5-46
haskell-th-abstraction 0.4.5.0-1
haskell-these 1.1.1.1-168
haskell-time-compat 1.9.6.1-64
haskell-transformers-compat 0.7.2-1
haskell-unordered-containers 0.2.19.1-44
haskell-uuid-types 1.0.5-84
haskell-vector 0.13.0.0-12
haskell-vector-stream 0.1.0.0-1
haskell-witherable 0.4.2-28
hdparm 9.65-1.1
hicolor-icon-theme 0.17-2
hidapi 0.12.0-1.1
highway 1.0.2-1.1
htop 3.2.1-1.1
http-parser 2.9.4-1.1
hwdata 0.364-1
hwloc 2.8.0-1.1
hyphen 2.8.8-4.1
iana-etc 20221025-1
icu 72.1-1.1
ijs 0.35-4.1
